[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined index: id 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 160 行.
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined index: id 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 161 行.
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Run ParseTemplate Behavior [ RunTime:0.014786s ]
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014864s ]
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Tag[ view_filter ] --START--
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Run ContentReplace Behavior [ RunTime:0.000757s ]
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Run TokenBuild Behavior [ RunTime:0.000620s ]
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000377s ]
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Run ShowRuntime Behavior [ RunTime:0.000648s ]
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002576s ]
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ClassnameAction.class.php:1) View.class.php 第 120 行.
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ClassnameAction.class.php:1) View.class.php 第 121 行.
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ClassnameAction.class.php:1) View.class.php 第 122 行.
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Tag[ view_end ] --START--
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001922s ]
[ 2012-09-12T00:02:53+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Tag[ view_end ] --END-- [ RunTime:0.002023s ]
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Tag[ route_check ] --START--
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Run CheckRoute Behavior [ RunTime:0.001330s ]
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001458s ]
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Tag[ app_begin ] --START--
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000957s ]
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001062s ]
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ClassnameAction.class.php:1) ClassnameAction.class.php 第 12 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | SQL: SHOW COLUMNS FROM `think_class` [ RunTime:0.002631s ]
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | SQL: SELECT `class` FROM `think_class`  [ RunTime:0.000631s ]
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | SQL: SHOW COLUMNS FROM `think_login` [ RunTime:0.003345s ]
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | SQL: SELECT COUNT(*) AS tp_count FROM `think_login` WHERE clas='通信1101' LIMIT 1   [ RunTime:0.000649s ]
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | SQL: SELECT `clas`,`username`,`phone`,`num` FROM `think_login` WHERE clas='通信1101'  [ RunTime:0.000295s ]
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Tag[ view_template ] --START--
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Run LocationTemplate Behavior [ RunTime:0.000876s ]
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000962s ]
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | INFO: Tag[ view_parse ] --START--
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined variable: username 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 53 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined variable: username 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 53 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined variable: username 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 138 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined index: id 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 164 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined index: id 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 165 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined index: id 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 164 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined index: id 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 165 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined index: id 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 164 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined index: id 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 165 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined index: id 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 164 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined index: id 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 165 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined index: id 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 164 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined index: id 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 165 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined index: id 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 164 行.
[ 2012-09-12T00:19:19+08:00 ] /xxx2/admin.php/Classname/classname/clas/%E9%80%9A%E4%BF%A11101 | NOTIC: [8] Undefined index: id 3e074f6f9cb561b89b8f8c5d0ac36e44.php 第 165 行.
